what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232618620097
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232618635987
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1232618639519
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232618686456
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232620609269
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1232620611550
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1232620637847
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1232620637878
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1232620646644
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232620646659
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232620650941
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232620660753
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621088566
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621090831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621773612
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232621774597
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232621778237
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232621778269
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232621778269
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1232621779269
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232621780409
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232621780425
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621783441
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621793628
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1232621794222
