what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1232616338034
opened,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616340972
activated,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616341003
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1232616344753
activated,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616350534
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232616350581
closed,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616350581
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1232616352956
started,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200808300730,org.eclipse.datatools.sqltools.tabledataeditor,1232616399191
started,bundle,org.eclipse.datatools.sqltools.data.ui,1.1.0.v200808260630,org.eclipse.datatools.sqltools.data.ui,1232616399206
started,bundle,org.eclipse.datatools.sqltools.tablewizard,1.0.0.v200808140615,org.eclipse.datatools.sqltools.tablewizard,1232616399237
started,bundle,org.eclipse.datatools.sqltools.data.core,1.0.0.v200808260630,org.eclipse.datatools.sqltools.data.core,1232616449112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616449159
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616451831
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616456831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616465737
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616498675
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617215269
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617215894
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617245394
activated,view,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.resultView,1232617247706
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232617249175
activated,view,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.resultView,1232617250347
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617258550
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1232617275050
