what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629316456
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629321894
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629323378
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629328128
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629331050
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629476800
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629476972
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629499862
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232629503862
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232629521425
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1232629525331
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232629537019
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1232629541362
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629547034
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629549847
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629550331
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629760644
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232629762894
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1232629766128
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232629767706
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1232629770050
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629781800
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629782862
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1232629811144
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232629824394
