what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232616224769
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232616255128
started,bundle,org.eclipse.datatools.enablement.oracle,1.0.0.v200805152355,org.eclipse.datatools.enablement.oracle,1232616268769
started,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries,1.0.0.v200805152355,org.eclipse.datatools.enablement.ibm.db2.iseries,1232616270581
started,bundle,org.eclipse.datatools.enablement.ibm.db2.luw,1.0.0.v200805152355,org.eclipse.datatools.enablement.ibm.db2.luw,1232616270581
started,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries,1.0.0.v200805152355,org.eclipse.datatools.enablement.ibm.db2.zseries,1232616270581
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232616273237
started,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.1.v200808300421,org.eclipse.datatools.connectivity.sqm.server.ui,1232616274331
started,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v200805152355,org.eclipse.datatools.enablement.sybase.asa.models,1232616274441
started,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v200805152355,org.eclipse.datatools.enablement.sybase.ase.models,1232616274487
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v200807181158,org.eclipse.datatools.enablement.msft.sqlserver,1232616279441
started,bundle,org.eclipse.datatools.enablement.sap.maxdb,1.0.0.v200805152355,org.eclipse.datatools.enablement.sap.maxdb,1232616279456
started,bundle,org.eclipse.datatools.modelbase.dbdefinition,1.0.0.v200808020150,org.eclipse.datatools.modelbase.dbdefinition,1232616279878
started,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200808140615,org.eclipse.datatools.sqltools.ddlgen.ui,1232616300909
started,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor,1232616318409
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200808140615,org.eclipse.datatools.sqltools.debugger.core,1232616321362
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1232616321566
opened,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616321691
activated,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616321987
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1232616322003
activated,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616332206
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1232616336316
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1232616336550
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232616336581
closed,editor,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,1232616336597
