what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232626909800
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232626912300
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232626919831
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626954612
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627031925
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232627034737
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1232627038800
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232627040222
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232627052847
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232627060425
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232627076144
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232627076362
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232627088862
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232627090159
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232627096003
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627097253
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627099722
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.rename,1232627099722
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232627100784
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627104659
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627109034
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.rename,1232627109050
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232627110831
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232627114581
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627116097
