what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.add.import,1232531885148
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.add.import,1232531888960
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1232531896570
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232531913101
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232531914976
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232531958398
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232531967164
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532082757
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232532084226
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1232532084429
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232532086304
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232532086320
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532090789
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532092867
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1232532092882
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1232532092882
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532094851
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532094929
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532231054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532234273
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532239882
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532243789
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532286945
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532292367
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232532296335
