what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1232617275081
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617275097
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1232617309441
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction,1232617310722
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617310972
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617316003
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617318206
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617337034
activated,view,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result.resultView,1232617340612
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617736237
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232617738331
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1232617741878
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232617742925
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1232617746487
activated,perspective,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective,1232617748925
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1232617754831
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1232617765519
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232617767128
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232617770003
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232617778034
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232618155847
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232618179847
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232618244050
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1232618247378
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232618259237
