what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232621898519
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626382784
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626385066
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626560409
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626562550
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626625394
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626633003
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626638269
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232626638409
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232626638456
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232626641519
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232626647784
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626675487
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626737550
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232626827800
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626835534
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626842237
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626847628
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626866253
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626882706
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232626886144
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626892378
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232626900253
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1232626900253
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232626903769
