what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1232627121534
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627122581
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1232627122597
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627124675
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627193737
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232627196909
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232627200972
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232627203269
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232627203894
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232627204206
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232627211519
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232627220862
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232627225675
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232627231644
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627240034
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627246441
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627247987
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232627252191
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232628153441
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629217441
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629232909
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232629283925
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232629301253
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232629302378
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1232629307237
