what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1232702465781
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1232702465812
started,bundle,org.eclipse.jst.j2ee,1.1.203.v200809102205,org.eclipse.jst.j2ee,1232702465843
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1232702465859
activated,view,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.PackageExplorer,1232702478046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232702481593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232702574765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1232702574781
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232702576078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232702586843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232704490203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232704491125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232704517031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232704517765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232705360859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232705361656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232706700531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232706701812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232708276453
activated,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1232708278031
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232708284734
closed,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1232708284734
activated,view,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.PackageExplorer,1232708285656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232708288796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232708292453
